date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side,full_date,trade_date
3/04,2609,中國信託,6160,1429,991,438,0.15,14,buy,2026-03-05,2026-03-04
3/04,2603,凱基,9200,734,477,257,0.39,11,buy,2026-03-05,2026-03-04
3/04,2615,摩根大通,8440,2257,1177,1080,0.89,1,buy,2026-03-05,2026-03-04
3/04,2615,台灣摩根士丹利,1470,1038,3566,-2528,2.08,1,sell,2026-03-05,2026-03-04
3/04,2603,國票-敦北法人,0037003700390063,958,48,910,1.4,4,buy,2026-03-05,2026-03-04
3/04,2615,富邦-台北,9623,484,1922,-1438,1.18,3,sell,2026-03-05,2026-03-04
3/04,2609,新光,8560,2462,1806,656,0.23,8,buy,2026-03-05,2026-03-04
3/04,2603,兆豐-中壢,0037003000300062,15,532,-517,0.79,6,sell,2026-03-05,2026-03-04
3/04,2609,台灣摩根士丹利,1470,8470,20364,-11894,4.13,1,sell,2026-03-05,2026-03-04
3/04,2609,富邦-公益,0039003600310046,1339,841,498,0.17,10,buy,2026-03-05,2026-03-04
3/04,3037,元大-忠孝,9871,146,30,116,0.42,11,buy,2026-03-05,2026-03-04
3/04,2603,花旗環球,1590,994,155,839,1.29,5,buy,2026-03-05,2026-03-04
3/04,2615,中國信託-三重,6161,880,50,830,0.68,2,buy,2026-03-05,2026-03-04
3/04,2615,國泰-敦南,8888,4055,3470,585,0.48,3,buy,2026-03-05,2026-03-04
3/04,2609,統一,5850,841,3511,-2670,0.93,8,sell,2026-03-05,2026-03-04
3/04,2609,台新證券,8150,2503,3760,-1257,0.44,10,sell,2026-03-05,2026-03-04
3/04,2609,國票-安和,003700370039005a,209,1148,-939,0.33,13,sell,2026-03-05,2026-03-04
3/04,2609,凱基-中山,9229,1070,122,948,0.33,3,buy,2026-03-05,2026-03-04
3/04,2609,國泰-桃園,8885,1683,1223,460,0.16,12,buy,2026-03-05,2026-03-04
3/04,2345,美商高盛,1480,628,335,293,5.74,1,buy,2026-03-05,2026-03-04
3/04,2603,元大-板橋,0039003800390043,149,12,137,0.21,12,buy,2026-03-05,2026-03-04
3/04,2609,摩根大通,8440,3164,8128,-4964,1.73,5,sell,2026-03-05,2026-03-04
3/04,3037,香港上海匯豐,8960,25,456,-431,1.58,6,sell,2026-03-05,2026-03-04
3/04,3037,凱基-松山,9217,171,10,161,0.59,7,buy,2026-03-05,2026-03-04
3/04,2609,富邦-南屯,9666,460,1302,-842,0.29,15,sell,2026-03-05,2026-03-04
3/04,2603,凱基-台北,9268,3230,3915,-685,1.05,5,sell,2026-03-05,2026-03-04
3/04,2609,國泰-板橋,003800380038004b,1782,1067,715,0.25,7,buy,2026-03-05,2026-03-04
3/04,2603,台新-高雄,0038003100350041,267,156,111,0.17,15,buy,2026-03-05,2026-03-04
3/04,2615,美商高盛,1480,4609,5691,-1082,0.89,5,sell,2026-03-05,2026-03-04
3/04,2609,國票-敦北法人,0037003700390063,141,2074,-1933,0.67,9,sell,2026-03-05,2026-03-04
3/04,2618,花旗環球,1590,610,961,-351,0.74,11,sell,2026-03-05,2026-03-04
3/04,2609,群益金鼎-高雄,9183,634,91,543,0.19,9,buy,2026-03-05,2026-03-04
3/04,3034,香港上海匯豐,8960,5,129,-124,3.2,3,sell,2026-03-05,2026-03-04
3/04,2345,凱基-竹北,9234,12,0,12,0.24,15,buy,2026-03-05,2026-03-04
3/04,2412,新加坡商瑞銀,1650,2120,1895,225,0.94,10,buy,2026-03-05,2026-03-04
3/04,3034,土銀-新竹,1035,1,17,-16,0.41,10,sell,2026-03-05,2026-03-04
3/04,3006,港商野村,1560,12,320,-308,1.55,3,sell,2026-03-05,2026-03-04
3/04,2379,富邦證券,9600,15,42,-27,0.62,12,sell,2026-03-05,2026-03-04
3/04,3034,元大-北投,0039003800390041,0,20,-20,0.52,8,sell,2026-03-05,2026-03-04
3/04,2412,美林,1440,697,988,-291,1.21,6,sell,2026-03-05,2026-03-04
3/04,3034,國泰-敦南,8888,18,78,-60,1.55,7,sell,2026-03-05,2026-03-04
3/04,2412,臺銀,1040,508,13,495,2.06,7,buy,2026-03-05,2026-03-04
3/04,2379,國票-敦北法人,0037003700390063,30,0,30,0.69,9,buy,2026-03-05,2026-03-04
3/04,2379,北城證券,7750,24,0,24,0.55,11,buy,2026-03-05,2026-03-04
3/04,2379,富邦-新竹,9647,30,9,21,0.48,14,buy,2026-03-05,2026-03-04
3/04,3034,臺銀,1040,25,6,19,0.49,12,buy,2026-03-05,2026-03-04
3/04,3034,華南永昌-台中,9302,0,12,-12,0.31,15,sell,2026-03-05,2026-03-04
3/04,2412,大和國泰,8890,0,2010,-2010,8.36,1,sell,2026-03-05,2026-03-04
3/04,2618,臺銀,1040,373,19,354,0.75,5,buy,2026-03-05,2026-03-04
3/04,2379,國票證券,7790,22,1,21,0.48,13,buy,2026-03-05,2026-03-04
3/04,3034,法銀巴黎,8900,1,91,-90,2.32,5,sell,2026-03-05,2026-03-04
3/04,3034,第一金,5380,21,0,21,0.54,9,buy,2026-03-05,2026-03-04
3/04,2412,臺銀-臺南,1042,11,813,-802,3.33,3,sell,2026-03-05,2026-03-04
3/04,2412,國票-和平,003700370039006a,702,3,699,2.91,4,buy,2026-03-05,2026-03-04
3/04,2412,摩根大通,8440,1723,1557,166,0.69,13,buy,2026-03-05,2026-03-04
3/04,2412,玉山證券,8840,4,376,-372,1.55,5,sell,2026-03-05,2026-03-04
3/04,2379,元大-北投,0039003800390041,0,31,-31,0.71,10,sell,2026-03-05,2026-03-04
3/04,3034,摩根大通,8440,673,278,395,10.18,2,buy,2026-03-05,2026-03-04
3/04,2412,中國信託,6160,145,44,101,0.42,15,buy,2026-03-05,2026-03-04
3/04,3034,兆豐-桃鶯,0037003000300055,15,2,13,0.34,13,buy,2026-03-05,2026-03-04
3/04,3034,富邦-仁愛,9676,6,20,-14,0.36,12,sell,2026-03-05,2026-03-04
3/04,2345,花旗環球,1590,361,197,164,3.21,4,buy,2026-03-05,2026-03-04
3/04,2379,港商麥格理,1360,13,102,-89,2.04,4,sell,2026-03-05,2026-03-04
3/04,2603,華南永昌,9300,123,344,-221,0.34,13,sell,2026-03-05,2026-03-04
3/04,2379,美商高盛,1480,210,229,-19,0.44,14,sell,2026-03-05,2026-03-04
